"","submission_date","state","tot_cases","new_case","tot_death","new_death","created_at"
"1",2021-03-11,"KS",297229,0,4851,0,"2021-03-12T15:20:13.190"
"2",2021-02-12,"UT",359641,1060,1785,11,"2021-02-13T14:50:08.565"
"3",2021-03-01,"CO",438745,677,5952,1,"2021-03-01T00:00:00.000"
"4",2020-02-04,"AR",0,0,0,0,"2020-03-26T16:22:39.452"
"7",2022-01-01,"UT",636992,0,3787,0,"2022-01-03T13:55:55.033"
"8",2021-05-22,"MA",704796,451,17818,5,"2021-05-23T13:37:59.772"
"10",2021-12-27,"CO",896403,10153,10077,3,"2021-12-28T17:00:54.976"
"11",2021-08-01,"GA",1187107,3829,21690,7,"2021-08-02T14:03:57.634"
"15",2020-07-20,"GA",147804,2766,3176,3,"2020-07-21T10:50:17.000"
"16",2020-05-29,"CO",25968,346,1436,15,"2020-05-29T00:00:00.000"
"17",2020-05-21,"GA",38356,687,1758,69,"2020-05-22T11:31:45.000"
"18",2020-10-13,"CO",82388,1195,2153,37,"2020-10-13T00:00:00.000"
"19",2020-04-10,"OK",2552,96,102,5,"2020-04-11T00:00:00.000"
"20",2020-03-10,"FL",20,2,3,1,"2020-03-10T00:00:00.000"
"23",2020-06-22,"CO",31177,142,1651,4,"2020-06-22T00:00:00.000"
"24",2021-06-28,"UT",414204,254,2365,2,"2021-06-29T14:25:53.077"
"25",2021-09-08,"KS",382850,1147,5693,15,"2021-09-09T14:36:12.589"
"26",2021-12-30,"HI",106350,3425,1074,0,"2021-12-31T14:32:16.906"
"27",2021-03-07,"UT",374850,412,1976,1,"2021-03-08T14:47:36.155"
"28",2021-05-30,"CO",548917,460,6580,4,"2021-05-30T00:00:00.000"
"29",2020-02-05,"KS",0,0,0,0,"2020-03-26T16:22:39.452"
"30",2020-02-28,"GA",0,0,0,0,"2020-03-26T16:22:39.452"
"31",2021-09-02,"WV",192788,1632,3117,11,"2021-09-03T13:38:30.847"
"32",2021-09-24,"GA",1557536,4300,25478,140,"2021-09-25T13:25:43.343"
"33",2020-05-22,"OK",6612,97,331,3,"2020-05-23T00:00:00.000"
"34",2021-06-27,"CO",559379,235,6777,7,"2021-06-27T00:00:00.000"
"35",2021-06-21,"MA",709443,48,17976,5,"2021-06-22T14:36:11.498"
"38",2020-04-16,"CO",8919,421,373,16,"2020-04-16T00:00:00.000"
"39",2020-10-27,"CO",102027,1498,2236,10,"2020-10-27T00:00:00.000"
"40",2021-11-14,"OK",653624,0,11072,0,"2021-11-15T15:24:41.114"
"41",2021-04-12,"UT",390289,185,2159,0,"2021-04-13T14:00:37.906"
"44",2020-11-12,"HI",16171,94,221,0,"2020-11-13T14:54:34.454"
"45",2021-05-02,"OK",449520,149,7257,1,"2021-05-03T00:00:00.000"
"46",2021-11-14,"TX",4266698,553,71624,38,"2021-11-15T15:24:41.114"
"47",2020-08-12,"GA",232148,3767,4456,105,"2020-08-13T10:12:28.000"
"48",2020-09-23,"CO",68014,620,2030,5,"2020-09-23T00:00:00.000"
"49",2021-05-09,"UT",400352,232,2224,1,"2021-05-10T14:15:36.155"
"50",2021-08-21,"WV",178361,828,3010,2,"2021-08-23T12:48:27.632"
"51",2021-10-05,"CO",680935,2280,7643,17,"2021-10-06T14:06:06.075"
"53",2021-04-23,"WV",150693,405,2813,5,"2021-04-24T14:22:34.654"
"57",2020-12-19,"UT",248970,2408,1148,8,"2020-12-20T14:32:33.200"
"58",2020-07-09,"WV",3826,119,95,0,"2020-07-10T15:35:06.524"
"59",2021-04-30,"AR",335725,196,5739,4,"2021-05-01T13:43:22.175"
"60",2022-01-05,"MA",1223354,30805,20464,54,"2022-01-06T14:32:45.907"
"61",2020-11-10,"HI",15961,69,221,1,"2020-11-11T15:15:25.262"
"62",2020-05-30,"TX",62338,1332,1905,32,"2020-06-01T00:00:00.000"
"63",2021-04-18,"AK",63580,141,341,0,"2021-04-18T00:00:00.000"
"65",2021-08-22,"FL",3076269,14622,46877,343,"2021-08-22T00:00:00.000"
"67",2020-10-10,"HI",13371,108,168,2,"2020-10-11T13:47:22.472"
"68",2021-06-15,"FL",2305780,1747,37932,24,"2021-06-15T00:00:00.000"
"69",2020-08-08,"HI",3468,151,31,1,"2020-08-09T10:03:10.000"
"70",2020-08-27,"FL",604971,3583,13791,110,"2020-08-27T00:00:00.000"
"71",2021-11-06,"TX",4243143,2469,70705,132,"2021-11-08T13:55:23.618"
"72",2022-01-06,"KS",549721,0,7059,0,"2022-01-07T15:48:33.461"
"73",2020-10-07,"MA",136492,535,9575,16,"2020-10-09T00:00:00.000"
"74",2020-11-05,"KS",92215,0,1087,0,"2020-11-06T15:33:41.082"
"76",2021-04-01,"KS",302372,0,4913,0,"2021-04-02T13:56:15.510"
"77",2022-01-07,"FL",4631941,69864,63028,14,"2022-01-07T00:00:00.000"
"78",2021-01-29,"CO",403759,1663,5594,25,"2021-01-29T00:00:00.000"
"80",2021-08-28,"MA",755227,1432,18222,3,"2021-08-30T12:49:04.183"
"81",2020-11-28,"WV",45845,799,718,6,"2020-11-29T14:49:08.286"
"83",2021-04-16,"TX",2836978,3474,49396,39,"2021-04-18T00:00:00.000"
"84",2020-12-22,"UT",255085,2302,1173,12,"2020-12-23T14:36:58.341"
"85",2020-08-20,"CO",55171,377,1903,3,"2020-08-20T00:00:00.000"
"87",2021-01-25,"HI",25209,116,339,0,"2021-01-26T14:46:01.604"
"88",2021-11-14,"UT",571507,0,3347,0,"2021-11-15T15:24:41.114"
"89",2020-03-26,"GA",1843,303,60,13,"2020-03-26T12:22:39.000"
"91",2021-11-13,"TX",4266084,3849,71586,84,"2021-11-15T13:35:54.283"
"92",2020-08-06,"CO",50503,409,1852,1,"2020-08-06T00:00:00.000"
"93",2020-02-23,"OK",10,0,0,0,"2020-02-24T00:00:00.000"
"94",2021-12-10,"GA",1678746,1959,30823,25,"2021-12-11T14:24:24.165"
"95",2020-10-02,"WV",16307,283,355,1,"2020-10-03T13:39:53.719"
"96",2021-08-20,"KS",356065,1338,5494,38,"2021-08-21T13:25:01.728"
"97",2021-01-12,"AK",49152,158,298,0,"2021-01-12T00:00:00.000"
"100",2021-07-10,"UT",419388,412,2395,2,"2021-07-12T13:16:46.339"
"101",2021-01-03,"WV",91058,1731,1376,3,"2021-01-04T14:55:45.964"
"105",2020-08-06,"TX",467485,7598,11195,230,"2020-08-08T00:00:00.000"
"107",2021-11-21,"UT",582929,0,3428,0,"2021-11-22T15:21:21.914"
"108",2021-08-26,"OK",542412,3338,7878,21,"2021-08-27T14:08:03.941"
"110",2020-03-22,"UT",169,44,1,1,"2020-03-26T16:22:39.452"
"114",2020-11-16,"MA",190439,2164,10417,30,"2020-11-18T00:00:00.000"
"115",2020-05-03,"MA",68087,1824,4591,140,"2020-05-05T00:00:00.000"
"117",2021-08-25,"OK",539074,4152,7857,22,"2021-08-26T14:58:37.450"
"118",2021-02-28,"UT",371235,465,1935,6,"2021-03-01T15:21:38.478"
"119",2020-10-22,"FL",759005,3692,17680,41,"2020-10-22T00:00:00.000"
"121",2021-06-17,"CO",556132,355,6713,4,"2021-06-17T00:00:00.000"
"122",2020-05-15,"AK",390,1,11,0,"2020-05-15T00:00:00.000"
"123",2020-02-24,"AK",0,0,0,0,"2020-03-26T16:22:39.452"
"124",2021-10-23,"KS",428816,0,6211,0,"2021-10-25T15:25:56.107"
"126",2020-10-19,"CO",89225,1208,2180,4,"2020-10-19T00:00:00.000"
"127",2020-08-26,"TX",592137,5407,14272,104,"2020-08-28T00:00:00.000"
"128",2020-11-27,"AR",153677,1052,2436,0,"2020-11-28T14:46:47.693"
"129",2020-01-23,"KS",0,0,0,0,"2020-03-26T16:22:39.452"
"130",2020-07-31,"AR",42511,752,453,11,"2020-08-01T14:38:12.337"
"132",2021-02-14,"WV",127588,306,2210,9,"2021-02-15T14:46:24.739"
"133",2020-03-23,"TX",287,24,14,2,"2020-03-25T00:00:00.000"
"134",2021-06-12,"UT",409364,357,2323,4,"2021-06-13T13:40:53.785"
"139",2021-02-04,"MA",533921,2804,15078,64,"2021-02-06T00:00:00.000"
"140",2021-04-07,"TX",2804798,4544,49026,45,"2021-04-09T00:00:00.000"
"143",2020-06-26,"AR",18740,678,249,7,"2020-06-27T17:51:58.649"
"144",2021-03-10,"TX",2699589,4863,47416,101,"2021-03-12T00:00:00.000"
"145",2020-03-15,"AR",16,4,0,0,"2020-03-26T16:22:39.452"
"146",2020-11-18,"UT",162028,3071,740,8,"2020-11-19T15:01:36.742"
"147",2021-11-11,"TX",4259194,3767,71186,324,"2021-11-12T17:03:41.531"
"151",2020-02-10,"AK",0,0,0,0,"2020-03-26T16:22:39.452"
"153",2021-09-15,"KS",393696,1833,5801,28,"2021-09-16T14:24:46.593"
"154",2021-05-05,"KS",310115,235,4999,14,"2021-05-06T14:14:04.113"
"155",2021-02-04,"WV",123044,574,2080,22,"2021-02-05T14:54:41.938"
"156",2021-07-25,"CO",572082,563,6918,4,"2021-07-25T00:00:00.000"
"157",2020-12-01,"AR",159309,1950,2512,10,"2020-12-02T15:48:48.293"
"158",2020-05-09,"AK",378,1,10,0,"2020-05-09T00:00:00.000"
"159",2020-03-26,"MA",2417,579,43,10,"2020-03-28T00:00:00.000"
"162",2021-02-18,"WV",128760,355,2236,11,"2021-02-19T15:33:51.934"
"163",2020-04-22,"MA",42944,1745,2796,154,"2020-04-24T00:00:00.000"
"164",2021-01-18,"KS",259822,3688,3525,23,"2021-01-19T14:37:00.036"
"165",2020-12-19,"GA",582300,5763,10381,49,"2020-12-20T14:32:33.200"
"168",2020-12-14,"WV",64394,1177,978,10,"2020-12-15T14:39:02.350"
"170",2021-04-13,"FL",2099392,6666,35079,44,"2021-04-13T00:00:00.000"
"171",2021-07-12,"GA",1141159,589,21499,5,"2021-07-13T14:26:25.742"
"173",2020-10-13,"TX",800256,5130,17741,71,"2020-10-15T00:00:00.000"
"174",2021-11-18,"KS",452909,0,6634,0,"2021-11-19T15:04:49.744"
"177",2020-04-30,"MA",62205,1940,4125,145,"2020-05-02T00:00:00.000"
"178",2021-11-05,"MA",861480,1767,19087,18,"2021-11-06T13:17:26.097"
"179",2020-08-18,"AK",4381,66,50,0,"2020-08-18T00:00:00.000"
"180",2020-09-09,"FL",643608,2532,15150,99,"2020-09-09T00:00:00.000"
"183",2020-04-06,"GA",7388,739,319,100,"2020-04-05T12:22:39.000"
"184",2020-03-12,"WV",0,0,0,0,"2020-03-26T16:22:39.452"
"185",2021-06-01,"AK",67507,26,362,0,"2021-06-02T14:35:40.709"
"186",2020-05-17,"MA",86010,1077,6268,83,"2020-05-19T00:00:00.000"
"187",2020-05-05,"FL",36755,584,1702,39,"2020-05-05T00:00:00.000"
"190",2020-10-19,"AK",11226,202,91,0,"2020-10-19T00:00:00.000"
"191",2021-04-07,"AK",61747,217,340,0,"2021-04-07T00:00:00.000"
"192",2020-07-05,"MA",104502,111,8224,18,"2020-07-07T00:00:00.000"
"194",2021-04-30,"GA",1100187,1464,20190,32,"2021-05-01T13:43:22.175"
"195",2020-11-21,"UT",173979,3395,787,14,"2020-11-22T15:02:23.399"
"197",2021-04-02,"UT",386550,422,2131,6,"2021-04-03T13:51:09.290"
"199",2021-03-24,"UT",382733,562,2082,5,"2021-03-25T14:25:23.209"
"200",2020-11-21,"AK",26322,671,171,3,"2020-11-21T00:00:00.000"
"202",2021-02-05,"WV",123641,597,2100,20,"2021-02-06T16:05:17.977"
"203",2021-06-21,"FL",2315139,1772,38091,21,"2021-06-21T00:00:00.000"
"204",2020-10-09,"WV",17707,382,376,6,"2020-10-10T13:30:17.102"
"205",2021-10-15,"TX",4156151,6033,67477,275,"2021-10-16T13:26:43.774"
"207",2021-10-22,"KS",428816,947,6211,26,"2021-10-23T13:42:15.801"
"208",2022-01-03,"OK",720961,12023,11555,0,"2022-01-04T14:43:16.993"
"209",2020-11-01,"FL",798505,2662,18148,39,"2020-11-01T00:00:00.000"
"211",2021-09-29,"GA",1573840,4435,25933,176,"2021-09-30T14:57:48.020"
"212",2020-10-06,"FL",710776,2491,16851,61,"2020-10-06T00:00:00.000"
"213",2021-11-17,"AR",521553,828,8595,3,"2021-11-18T16:58:36.538"
"215",2021-12-22,"UT",622414,1406,3749,11,"2021-12-23T14:39:18.960"
"218",2021-03-30,"OK",442119,245,7146,9,"2021-03-31T00:00:00.000"
"219",2020-01-28,"MA",0,0,0,0,"2020-03-26T16:22:39.452"
"220",2020-11-01,"AK",15757,359,116,0,"2020-11-01T00:00:00.000"
"223",2020-06-20,"AK",750,21,16,0,"2020-06-20T00:00:00.000"
"224",2021-12-08,"FL",3707761,2598,62275,12,"2021-12-08T00:00:00.000"
"225",2021-04-01,"CO",471818,1665,6117,10,"2021-04-01T00:00:00.000"
"226",2020-11-22,"HI",17039,120,231,2,"2020-11-23T15:04:35.152"
"227",2021-02-22,"OK",430526,429,6819,22,"2021-02-23T00:00:00.000"
"229",2020-05-18,"GA",36117,662,1642,36,"2020-05-19T11:45:23.000"
"230",2020-04-06,"MA",13837,1337,460,80,"2020-04-08T00:00:00.000"
"231",2022-01-07,"HI",130605,3520,1090,3,"2022-01-08T14:31:47.092"
"232",2020-07-28,"HI",1840,110,26,0,"2020-07-29T10:34:46.000"
"234",2021-07-07,"HI",36714,34,515,0,"2021-07-08T14:26:57.178"
"235",2020-11-06,"FL",823044,4344,18389,48,"2020-11-06T00:00:00.000"
"236",2021-10-13,"KS",421462,1061,6151,9,"2021-10-14T14:14:59.386"
